date,mean_moisture-percent,mean_temperature
3/30/2019 7:00:00.000000000 PM,13.583720930232555,27.283720930232555
3/30/2019 7:30:00.000000000 PM,13.493333333333332,27.473333333333358
3/30/2019 8:00:00.000000000 PM,13.513333333333334,27.35666666666664
3/30/2019 8:30:00.000000000 PM,13.49666666666667,27.179999999999986
3/30/2019 9:00:00.000000000 PM,13.503333333333334,27.015000000000025
3/30/2019 9:30:00.000000000 PM,13.476666666666667,26.841666666666637
3/30/2019 10:00:00.000000000 PM,13.486666666666666,26.73000000000002
3/30/2019 10:30:00.000000000 PM,13.423333333333334,26.700000000000028
3/30/2019 11:00:00.000000000 PM,13.436666666666673,26.69166666666668
3/30/2019 11:30:00.000000000 PM,13.456666666666665,26.60333333333331
3/31/2019 12:00:00.000000000 AM,13.380000000000003,26.59499999999998
3/31/2019 12:30:00.000000000 AM,13.443333333333332,26.584999999999983
3/31/2019 1:00:00.000000000 AM,13.430000000000001,26.511666666666667
3/31/2019 1:30:00.000000000 AM,13.403333333333334,26.461666666666694
3/31/2019 3:00:00.000000000 AM,13.423333333333341,26.400000000000023
3/31/2019 3:30:00.000000000 AM,13.413333333333334,26.400000000000023
3/31/2019 4:00:00.000000000 AM,13.393333333333333,26.386666666666674
3/31/2019 4:30:00.000000000 AM,13.399999999999997,26.30499999999997
3/31/2019 5:00:00.000000000 AM,13.339999999999996,26.299999999999972
3/31/2019 5:30:00.000000000 AM,13.393333333333334,26.276666666666657
3/31/2019 6:00:00.000000000 AM,13.319999999999999,25.99333333333336
3/31/2019 6:30:00.000000000 AM,13.26,25.89333333333335
3/31/2019 7:00:00.000000000 AM,13.420000000000005,25.833333333333304
3/31/2019 7:30:00.000000000 AM,13.320000000000002,25.799999999999972
3/31/2019 8:00:00.000000000 AM,13.353333333333328,25.799999999999972
3/31/2019 8:30:00.000000000 AM,13.366666666666665,25.799999999999972
3/31/2019 9:00:00.000000000 AM,13.386666666666665,25.799999999999972
3/31/2019 9:30:00.000000000 AM,13.309999999999997,25.799999999999972
3/31/2019 10:00:00.000000000 AM,13.379999999999997,26.16499999999999
3/31/2019 10:30:00.000000000 AM,13.376666666666669,26.005
3/31/2019 11:00:00.000000000 AM,13.26333333333333,26.21333333333335
3/31/2019 11:30:00.000000000 AM,13.273333333333333,26.35000000000002
3/31/2019 12:00:00.000000000 PM,21.736666666666665,24.56499999999998
3/31/2019 12:30:00.000000000 PM,17.828333333333333,25.441666666666674
3/31/2019 1:00:00.000000000 PM,17.096666666666675,27.12333333333333
3/31/2019 1:30:00.000000000 PM,16.403333333333332,30.118333333333336
3/31/2019 2:00:00.000000000 PM,16.24,32.91500000000001
3/31/2019 2:30:00.000000000 PM,15.98666666666667,33.66500000000001
3/31/2019 3:00:00.000000000 PM,15.293333333333335,35.39333333333333
3/31/2019 3:30:00.000000000 PM,14.696666666666665,35.616666666666674
3/31/2019 4:00:00.000000000 PM,13.769999999999992,40.16
3/31/2019 4:30:00.000000000 PM,13.153333333333334,42.81833333333332
3/31/2019 5:00:00.000000000 PM,13.309999999999999,39.663333333333334
3/31/2019 5:30:00.000000000 PM,14.006666666666666,31.276666666666667
3/31/2019 6:00:00.000000000 PM,14.366666666666665,29.03833333333333
3/31/2019 6:30:00.000000000 PM,14.429999999999996,28.526666666666692
3/31/2019 7:00:00.000000000 PM,14.363333333333333,28.14833333333335
3/31/2019 7:30:00.000000000 PM,14.356666666666667,27.643333333333338
3/31/2019 8:00:00.000000000 PM,14.346666666666666,27.20333333333335
3/31/2019 8:30:00.000000000 PM,14.256666666666666,27.25166666666668
3/31/2019 9:00:00.000000000 PM,14.220000000000002,27.104999999999976
3/31/2019 9:30:00.000000000 PM,14.150000000000002,27.04000000000001
3/31/2019 10:00:00.000000000 PM,14.21,26.90500000000002
3/31/2019 10:30:00.000000000 PM,14.180000000000001,26.78999999999998
3/31/2019 11:00:00.000000000 PM,14.183333333333332,26.706666666666695
3/31/2019 11:30:00.000000000 PM,14.15666666666667,26.700000000000028
4/1/2019 12:00:00.000000000 AM,14.073333333333334,26.644999999999982
4/1/2019 12:30:00.000000000 AM,14.043333333333338,26.59833333333331
4/1/2019 1:00:00.000000000 AM,14.053333333333336,26.545
4/1/2019 1:30:00.000000000 AM,14.03,26.5
4/1/2019 2:00:00.000000000 AM,13.99333333333334,26.483333333333345
4/1/2019 2:30:00.000000000 AM,14.053333333333336,26.400000000000023
4/1/2019 3:00:00.000000000 AM,14.016666666666671,26.400000000000023
4/1/2019 3:30:00.000000000 AM,14.020000000000005,26.381666666666664
4/1/2019 4:00:00.000000000 AM,13.9,26.301666666666637
4/1/2019 4:30:00.000000000 AM,13.913333333333334,26.299999999999972
4/1/2019 5:00:00.000000000 AM,13.930000000000003,26.289999999999978
4/1/2019 5:30:00.000000000 AM,13.856666666666667,26.21000000000003
4/1/2019 6:00:00.000000000 AM,13.910000000000004,25.993333333333343
4/1/2019 6:30:00.000000000 AM,13.82666666666667,26
4/1/2019 7:00:00.000000000 AM,13.819999999999997,26
4/1/2019 7:30:00.000000000 AM,13.883333333333338,25.95833333333336
4/1/2019 8:00:00.000000000 AM,13.829999999999995,25.90000000000002
4/1/2019 8:30:00.000000000 AM,13.806666666666668,25.749999999999982
4/1/2019 9:00:00.000000000 AM,13.896666666666668,24.983333333333363
4/1/2019 9:30:00.000000000 AM,13.926666666666671,24.701666666666664
4/1/2019 10:00:00.000000000 AM,14.000000000000002,24.316666666666666
4/1/2019 10:30:00.000000000 AM,13.910000000000004,25.565
